TOPSTATS 7 3 1768 1 15 1 0 215 
Sanami 0 0 1 0 0 0 0 
Xylam 0 2 1 0 0 0 0 
Dartone 3 4 1 0 0 0 0 
Kikumaran 0 0 1 0 0 0 0 
Maxamus 0 0 0 0 0 0 0 
Jax 0 0 1 0 0 0 0 
Kizeren 0 85 0 1 1 0 215 
Togoro 0 0 1 0 0 0 0 
Grievous 0 1768 1 15 0 0 0 
Bob 0 0 0 0 0 0 0 
Walker 0 629 0 5 0 0 0 
Valdoon 0 14 0 0 0 0 0 
Usalas 0 742 0 4 0 0 0 
Marcellus 0 0 0 0 0 0 0 
TestDummy 0 0 0 0 0 0 0 
Demongo 0 347 0 1 0 0 0 
Obelisk 0 0 0 0 0 0 0 
Marduk 0 627 0 8 0 0 0 
Thanos 0 103 0 0 0 0 0 
Helium 0 0 0 0 0 0 0 
Ebenezum 0 0 0 0 0 0 0 
Grimm 0 0 0 0 0 0 0 
Dragoth 0 0 0 0 0 0 0 
Bershoon 0 77 0 0 0 0 0 
Talos 0 14 0 0 0 0 0 
Kirslev 0 0 0 0 0 0 0 
Garet 0 280 0 0 0 0 0 
Zakuro 0 54 0 2 0 0 0 
Tester 0 0 0 0 0 0 0 
Teshin 0 1 0 0 0 0 0 
Aljadra 0 43 0 0 0 0 0 
0 0 0 0 0 0 0 0 
